Index,ID,Last Job,Influence,Risk Score,Hiring Score,Work Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10
249,249,Sales Associate,6,15.4,48.89,8,Customer Service,Communication,Time Management,Teamwork,Problem-Solving,Leadership,Healthcare,Cash Handling,Food Service,
250,250,"Adjunct Faculty, Zanvyl Kreiger School of Arts and Sciences, Advanced Academic Programs",9,28.0,38.57,34,Teaching/Lecturing,Lab Management,Scientific Sales,Technical Application Support,Molecular Biology,Virology,Biotechnology,Project Management,Communication,Leadership
251,251,Practice Manager,8,56.8,8.35,19,Practice Management,Operational Leadership,Healthcare Operations,Financial Management,Quality Improvement,Employee Management,Regulatory Compliance,,,
252,252,Electronic Health Record Optimization Specialist,9,77.0,0.52,14,Healthcare Quality Improvement,Electronic Health Record Systems,Data Analysis,Project Management,Clinical Research,Grant Writing,Leadership,Budgeting,Contract Negotiation,
253,253,"Manager, Continuous Improvement",7,15.6,25.27,14.5,Project Management,Leadership,Six Sigma,Lean,Aviation Maintenance,Team Management,Problem-Solving,Communication,Time Management,
254,254,Summer Camp Counselor,6,59.5,7.69,11,Customer Service,Communication,,,,,,,,
255,255,Staff Accountant,6,9.8,34.03,24,General Accounting,Financial Reconciliation,Payroll Management,Accounts Payable,Accounts Receivable,Budgeting,Microsoft Excel,Cash Management,Inventory Management,
256,256,Accountant,7,32.5,16.94,7.5,General Accounting,Financial Reconciliation,Accounts Payable,Accounts Receivable,General Ledger,Banking,SAP Financials,,,
257,257,"Corporate Banking Assistant, Intern",6,8.8,41.58,1.5,Risk Management,SQL,VBA,Data Analysis,Image Processing,Machine Learning,Financial Analysis,Project Management,Research,
258,258,"Manager, Finance",9,8.0,35.4,29,Financial Analysis,Budgeting,Financial Reconciliation,Leadership,Accounting,Project Management,Microsoft Excel,Grants Management,Payroll Management,Data Analysis
259,259,Senior Accountant,7,10.0,60.47,14,Financial Reconciliation,General Accounting,Payroll Management,Budgeting,Leadership,Microsoft Excel,Financial Analysis,Accounting Software,,
260,260,Patient Advocate,5,25.0,11.82,4.75,Customer Service,Communication,Problem-Solving,Time Management,Data Entry,Sales,Healthcare,,,
261,261,Finance Manager,8,25.0,25.33,33,Financial Management,Accounting,Budgeting,Financial Reporting,Cash Flow Management,Financial Analysis,Leadership,Communication,Time Management,
262,262,"Administrative Assistant Director, Human Resources Manager, Production Manager, Engineering Manager, Technical Services Manager, and Information Technology Manager",9,12.5,54.64,35,Microsoft Excel,Microsoft Word,SAP,PeopleSoft,Access,Training and Development,Leadership,Payroll Management,Accounts Payable,Employee Benefits Administration
263,263,General Accountant,8,54.0,7.15,nan,General Accounting,Financial Reconciliation,Payroll Management,Cash Management,Financial Analysis,Leadership,Accounting Software,Budgeting,Financial Reporting,
264,264,Customer Service Representative,7,0.0,14.79,15,Customer Service,Communication,Problem-Solving,Time Management,,,,,,
265,265,Information Technology Intern (Test Automation Engineer),6,21.2,28.45,4,Java,Spring Framework,Test Automation,Software Development,Agile Methodologies,PHP,,,,
266,266,Finance Specialist,9,0.0,41.83,9,Financial Reconciliation,General Accounting,Financial Reporting,Audit and Assurance,Financial Analysis,Petty Cash Management,Taxation,,,
267,267,Customer Service Advocate,6,8.0,57.81,11,Customer Service,Collections,Sales,Cash Handling,Data Entry,,,,,
268,268,International Certification Program Management,9,25.0,26.35,14,Aircraft Validation,Regulatory Compliance,Project Management,Team Leadership,Maintenance Management,Avionics Management,,,,
269,269,"Supervisor, Accountant",7,25.0,20.25,20,Customer Service,Sales,Leadership,Inventory Management,Microsoft Excel,Time Management,Communication,Problem-Solving,Quality Control,
270,270,HR Customer Service Representative,8,22.2,24.09,10,Customer Service,Project Management,Communication,Data Analysis,Time Management,Leadership,Policy Development,Business Administration,,
271,271,Finance Director,9,20.0,25.57,22,Financial Planning,Budgeting,Financial Analysis,Leadership,Financial Reporting,Internal Auditing,Risk Management,Microsoft Excel,Project Management,
272,272,HR Business Partner II,9,16.0,42.99,32,Employee Engagement,Talent Management,Organizational Design,Performance Management,Leadership,Communication,Analytical Skills,Organizational Skills,,
273,273,Marketing Manager,7,66.9,3.73,18,Marketing Management,Event Management,Project Management,Leadership,Communication,Budgeting,Data Analysis,Digital Marketing,Public Relations,
274,274,Operations Manager,9,23.4,36.35,26,Operations Management,Leadership,Project Management,Communication,Problem-Solving,Time Management,Customer Service,,,
275,275,Owner/Operator,9,12.5,56.07,23,Leadership,Sales Management,Business Development,Budgeting,Project Management,Customer Service,Training and Development,Operations Management,Surgical Technology,
276,276,Finance Manager,8,25.0,40.96,22,Financial Planning,Financial Reporting,Cash Flow Management,Budgeting,Financial Analysis,Accounting,Leadership,Financial Management,Bank Reconciliation,Financial Forecasting
277,277,Human Resources Manager,9,55.0,4.01,36,Human Resource Management,Leadership,Recruitment and Selection,Staff Management,Business Development,Organizational Development,Communication,Strategic Planning,Time Management,Microsoft Office
278,278,INVESTMENT BANKING SUMMER ANALYST,8,20.0,4.01,4,Financial Analysis,Mergers and Acquisitions,Financial Modeling,Excel Macros,Data Analysis,Microsoft Excel,Communication,,,
279,279,Information Technology Specialist,9,0.0,64.4,14,Database Management,Network Management,Software Development,Data Analysis,Project Management,Leadership,Troubleshooting,Process Improvement,IT Systems Implementation,Technical Support
280,280,"Faculty, Clinical Instructor, & Clinical Coordinator",9,0.0,52.71,30,Leadership,Nursing Process,Pediatric Care,Clinical Education,Cultural Competence,Communication,Critical Thinking,,,
281,281,Information Technology Manager/Analyst,8,6.2,53.46,25,Project Management,Team Leadership,Web Development,Intranet Development,Solution Implementation,Data Analysis,Budgeting,,,
282,282,Senior Accountant,9,37.3,24.63,18,General Accounting,Financial Reconciliation,Accounts Payable/Accounts Receivable,Financial Analysis,Budgeting,Microsoft Excel,QuickBooks,,,
283,283,Accountant,6,17.0,44.36,23,Accounting,Financial Reconciliation,Budgeting,Leadership,Data Analysis,Microsoft Excel,Underwriting,Customer Service,,
284,284,General Manager,8,36.3,29.17,17,Leadership,Project Management,Time Management,Communication,Microsoft Office,Inventory Management,Customer Service,,,
285,285,Operations Manager,6,35.6,18.89,8,Leadership,Project Management,Sales and Marketing,Communication,Time Management,Problem-Solving,,,,
286,286,Finance Director,8,11.8,59.56,25,Accounting,Financial Statement Preparation,Payroll Management,Budgeting,Financial Analysis,Leadership,Bookkeeping,Financial Reporting,,
287,287,Executive Director,9,39.2,16.01,51,Project Management,Community Development,Fundraising,Video Production,Leadership,Teaching,,,,
288,288,Arts Educator,7,16.0,60.45,20,Classroom Management,Lesson Planning,Communication,Leadership,Budgeting,Art Instruction,Fused Glass,Entrepreneurship,Time Management,Collaboration
289,289,Branch Banking Coordinator,9,10.0,52.16,11,Leadership,Risk Management,Customer Service,Cash Handling,Bookkeeping,Time Management,Team Management,Audit and Compliance,Communication,Problem-Solving
290,290,RDA,4,35.1,24.9,3,Dental Assisting,Patient Care,Infection Control,Dental Procedures,X-ray Operation,Medical Record-Keeping,,,,
291,291,Fitness Instructor,5,23.2,37.01,10,Customer Service,Time Management,Communication,Attention to Detail,,,,,,
292,292,Finance Specialist,9,8.0,65.04,20,Financial Analysis,Forecasting,Account Reconciliation,Credit Analysis,Accounts Receivable Management,Leadership,Financial Planning,Risk Management,,
293,293,Dance Instructor,6,56.6,8.7,16,Dance Instruction,Ballet,Jazz,Tap,Modern,Musical Theatre,Early Childhood Education,,,
294,294,Administrative Manager,7,40.0,16.53,17,Bookkeeping,Account Reconciliation,Budgeting,Customer Service,Data Entry,IT & Telecoms Troubleshooting,Microsoft Office,Time Management,Communication,
295,295,Production Supervisor / Value Stream Leader,8,36.4,26.5,31,Leadership,Project Management,Quality Control,Manufacturing Operations,Problem-Solving,Team Collaboration,Time Management,Blueprint Reading,Machining,Troubleshooting
296,296,Administrative Assistant,9,26.3,34.98,24,Administrative Support,Leadership,Communication,Project Management,Time Management,Organizational Management,Microsoft Office,,,
297,297,HR Generalist,7,0.0,76.84,16,HR Administration,Recruitment,Data Analysis,Communication,Time Management,Leadership Support,Microsoft Office,,,
298,298,Operations and Finance Manager,9,43.8,17.93,36.5,Project Management,Financial Analysis,Accounting,Budgeting,Leadership,Financial Planning,Data Analysis,Communication,,
299,299,Assistant Accountant,8,26.9,34.41,19,Financial Reconciliation,General Accounting,Payroll Management,Budgeting,Leadership,Cash Management,Financial Analysis,Financial Reporting,Auditing,Customer Service
300,300,DIRECTOR OF FINANCE,10,16.0,47.79,29,Financial Management,Strategic Planning,Project Management,Leadership,Budgeting,Financial Analysis,Risk Management,Business Case Development,IT Project Management,Financial Planning
301,301,Accounting Manager,8,0.0,66.37,23,Financial Reconciliation,General Accounting,Microsoft Excel,Leadership,Process Improvement,Data Analysis,Accounting Software,Project Management,,
302,302,HR Manager,9,22.7,29.81,22,Human Resources,Employee Relations,Leadership,Talent Management,Training and Development,Compliance,Communication,Project Management,,
303,303,HR Clerk,8,0.0,76.84,41,Bookkeeping,Payroll Administration,HR Management,Database Management,Staffing,Administrative Support,,,,
304,304,Staff Accountant,6,35.1,25.88,30,Financial Reconciliation,General Accounting,Financial Reporting,Budgeting,Leadership,Financial Analysis,Accounting Systems,Policy Development,Auditing,
305,305,HR Generalist,7,10.0,42.69,15,HR Management,Recruitment,Employee Relations,Leadership,Time Management,,,,,
306,306,Lead Information Technology Support Specialist,7,13.8,64.16,22,Database Management,Technical Support,Leadership,Problem-Solving,Communication,Data Analysis,Microsoft Access,SAP R/3,Project Management,SQL
307,307,"Director, Finance",10,5.0,56.77,24,Project Management,Leadership,Financial Management,Change Management,Governance,Strategic Planning,Communication,Budgeting,Financial Analysis,Microsoft Excel
308,308,Information Technology Help Desk Specialist,7,44.0,15.37,17,Technical Support,Quality Assurance,Project Management,Team Leadership,Microsoft Excel,Data Analysis,Communication,Customer Service,Process Improvement,
309,309,HR Director/Administrator,9,0.0,48.34,23,Human Resources Management,Leadership,Administrative Management,Financial Management,Project Management,Customer Service,Time Management,Communication,Microsoft Office,
310,310,Accountant,8,20.4,40.4,24,General Accounting,Financial Reconciliation,Payroll Management,Budgeting,Leadership,Microsoft Excel,Accounting Software,Inventory Management,Project Management,
311,311,Aviation Supply Specialist,8,23.7,28.92,10,Inventory Management,Supply Chain Management,Customer Service,Leadership,Time Management,Problem-Solving,Communication,Team Management,,
312,312,Director of Information Technology,9,4.2,68.77,15,Network Administration,IT Governance,IT Budgeting,Leadership,Cisco Systems,Network Security,Troubleshooting,Project Management,Data Analysis,Communication
313,313,Fitness Trainee/Recreation Management Intern,6,62.7,4.48,8,Project Management,Leadership,Microsoft Excel,Customer Service,Time Management,Communication,Teamwork,,,
314,314,Subject Matter Expert (Information Technology Assistant),9,0.0,68.31,15,Data Validation,SAP,Microsoft Excel,Project Management,Quality Assurance,Asset Management,Technical Support,Database Management,SQL,Microsoft Access
315,315,Accountant,6,50.0,13.48,19,Financial Analysis,Financial Reconciliation,General Accounting,Asset Management,Budgeting,Microsoft Excel,Auditing,Financial Reporting,,
316,316,Packaging Buyer/Research and Development Lead,8,24.4,35.63,20,Procurement,Supply Chain Management,Leadership,Customer Service,Operations Management,Time Management,Communication,SAP,,
317,317,Corporate Controller,9,19.0,46.49,28,Financial Management,Accounting,Leadership,Financial Analysis,Payroll Management,Budgeting,Financial Reporting,Cash Management,Tax Analysis,Microsoft Excel
318,318,Finance Manager,9,10.0,42.69,18,Financial Reconciliation,General Accounting,Payroll Management,Budgeting,Project Management,Marketing,Leadership,Operations Management,Customer Service,Inventory Management
319,319,HR Assistant,7,11.7,41.1,24,HR Management,Payroll Management,Scheduling,Data Entry,Customer Service,Medical Administration,Quality Assurance,Compliance,,
320,320,RN / ASST. HEAD NURSE PRACTICE LEADER,9,13.2,54.26,47,Nursing,Leadership,Staff Management,Patient Care,Computer Proficiency,Scheduling,Payroll Management,Documentation,,
321,321,Theater Arts Teacher & Program Director,7,12.5,40.36,26.5,Theater Arts,Teaching,Leadership,Classroom Management,Public Speaking,Creative Writing,Curriculum Development,Mentoring,,
322,322,Payroll Accountant,6,16.8,35.18,12,Payroll Management,Financial Reconciliation,General Accounting,ADP (Human Resources and Payroll process functions),Microsoft Excel,Leadership,Time Management,Communication,Organizational Skills,GAAP Compliance
323,323,"Director, Compounding Sales Specialist",9,19.0,34.58,44,Sales,Leadership,Customer Service,Communication,Time Management,Problem-Solving,Training and Development,Staff Management,Nursing,Reception and Administration
324,324,Director of Finance,9,13.4,67.5,25,Financial Planning,Financial Oversight,Vendor Management,Operational Excellence,Leadership,Project Management,Forecasting,Staffing and Capacity Planning,Accounting,Economics
325,325,Adventure Run Coordinator,7,35.6,11.73,18,Event Management,Leadership,Customer Service,Marketing,Operations Management,Communication,Teamwork,Time Management,,
326,326,Loss Prevention/ BSA Analyst,8,66.4,5.76,23.5,Risk Management,Compliance,Leadership,Operations Management,Customer Service,Cash Management,Audit and Control,,,
327,327,Information Technology Specialist,9,66.4,4.71,14,Project Management,Troubleshooting,IT Service Management,Network Administration,Desktop Support,Microsoft Office,TCP/IP Configuration,Active Directory,ITSM,
328,328,Administrator of Information Technology,9,4.0,59.35,24,System Administration,Network Support,Database Management,Cyber Security,Software Support,Troubleshooting,Leadership,Project Management,,
329,329,Arts Instructor,6,39.5,31.99,22,Teaching,Curriculum Development,Visual Arts,Photography,Leadership,Communication,Project Management,,,
330,330,Health Systems Analyst,8,12.0,24.08,25,Healthcare Operations,Data Analysis,Project Management,Leadership,Communication,Problem-Solving,Strategic Planning,Time Management,,
331,331,Creative Assistant,6,33.9,11.41,11,Project Management,Communication,Leadership,Event Planning,Public Relations,Time Management,Teamwork,Problem-Solving,Organizational Skills,Customer Service
332,332,Project Accountant,6,13.7,53.88,7,Financial Reconciliation,General Accounting,Budgeting,Financial Reporting,Procurement,Administrative Management,,,,
333,333,Finance Specialist,7,6.0,36.96,29,Payroll Management,General Accounting,Financial Reporting,Inventory Management,Bookkeeping,Bank Reconciliation,Accounts Payable and Receivable,Financial Analysis,Microsoft Excel,Leadership
334,334,"Professional Fitness Trainer, Group Instructor",7,0.0,52.71,31,Fitness Training,Leadership,Accounting,Customer Service,Sales,Time Management,,,,
335,335,Bank Operations Analyst,9,23.2,28.93,34,Bank Operations,Compliance Analysis,Leadership,Cash Management,Customer Service,Data Analysis,Team Management,Time Management,,
336,336,Health Coach,6,28.0,24.29,19,Health Coaching,Nutrition Counseling,Exercise Physiology,Health Education,Leadership,Communication,Project Management,Marketing,,
337,337,Customer Service Representative,8,40.1,20.86,16,Customer Service,Policy Management,Data Analysis,Inventory Management,Communication,Time Management,Problem-Solving,,,
338,338,Customer Service Advocate,9,16.0,42.13,28,Customer Service,Leadership,Sales Management,Communication,Time Management,Negotiation,Data Entry,Payroll Management,Inventory Management,Merchandising
339,339,RN/RN Team Lead,8,52.5,6.59,19.83,Leadership,Nursing,Operations Management,Quality Assurance,Risk Management,Project Management,Communication,Business Administration,,
340,340,Customer Care Advocate,7,4.0,69.21,19,Customer Service,Communication,Problem-Solving,Time Management,Teamwork,Leadership,Sales,Product Knowledge,,
341,341,Advisor,9,13.7,52.06,21,Leadership,Customer Service,Team Management,Compliance,Data Entry,Communication,Problem-Solving,,,
342,342,Staff Accountant,8,25.0,34.44,18,Financial Reporting,Accounting,Financial Analysis,Tax Preparation,Auditing,Financial Planning,Communication,Microsoft Excel,,
343,343,HR Consulting,7,31.0,35.3,7,Performance Management,Employee Engagement,Talent Management,Reward and Recognition,Payroll Management,Employee Benefits,Training and Development,Compliance Management,,
344,344,Group Fitness Instructor,9,0.0,64.4,24,Group Fitness Instruction,Leadership,Marketing,Public Relations,Product Management,Communication,Motivation,Time Management,Teamwork,
345,345,Placement Agent,9,12.5,47.35,19,Financial Modeling,Investment Banking,Mergers and Acquisitions,Financial Analysis,Leadership,Sales and Marketing,Team Management,Strategic Planning,,
346,346,Accountant,6,0.0,64.4,18,Accounting,Financial Reconciliation,Budgeting,Microsoft Excel,Leadership,Process Improvement,Financial Reporting,General Ledger Management,Accounts Receivable,
347,347,Chief Executive Officer,9,44.3,16.52,4,Leadership,Project Management,Marketing,Business Analysis,Team Management,Event Planning,Communication,Digital Marketing,,
348,348,Administrative Assistant,7,50.0,5.3,24,Administrative Support,Project Management,Leadership,Microsoft Office,Time Management,Communication,Payroll Management,Human Resources,Data Management,Budgeting
349,349,Corporate Director of Finance,10,0.0,52.71,22,Financial Analysis,Budgeting,Forecasting,Leadership,Accounting,Financial Reporting,Project Management,Microsoft Excel,Communication,Strategic Planning
350,350,Budget Finance Specialist Senior,8,0.0,31.82,19,Leadership,Budgeting,Financial Analysis,Accounting,Financial Planning,Customer Service,Research,Financial Controls,,
351,351,Customer Service Specialist,5,25.0,26.35,10,Customer Service,Communication,Teamwork,Leadership,Time Management,Problem-Solving,Writing,Research,,
352,352,VP of Information Technology,9,40.6,20.78,20,Leadership,Information Technology,Project Management,Data Analysis,Application Development,Information Security,Team Management,Budgeting,SQL,ASP.Net
353,353,Director of Information Technology,10,25.0,27.36,24,Project Management,Application Development,Network Support,Database Administration,Business Analysis,Leadership,ASP.NET,SQL Server,C#,TFS
354,354,Enumerator,8,37.4,19.08,11,Data Collection,Customer Service,Healthcare Management,Administrative Support,Communication,Time Management,,,,
355,355,Group Fitness Instructor,7,50.9,9.08,24,Group Fitness Instruction,Yoga Instruction,Leadership,Time Management,Communication,,,,,
356,356,Yoga Instructor,6,19.5,40.65,20,Yoga Instruction,Fitness Instruction,Nutrition Education,Program Management,Leadership,Public Speaking,Time Management,,,
357,357,Sales Associate/Cashier,6,21.2,46.41,12,Customer Service,Sales,Cash Handling,Time Management,Communication,Problem-Solving,,,,
358,358,Server,5,24.1,46.03,8,Customer Service,Communication,Teamwork,Time Management,,,,,,
359,359,Consultant,9,6.0,67.9,24,Project Management,Application Support,Database Management,Software Development,Leadership,Business Process Development,Data Analysis,IT Consulting,System Administration,SQL
360,360,IT Manager,8,44.8,20.81,24.01,Server Installation and Migration,Network Security,Database Management,Microsoft Exchange Server,SQL,Virtualization,Help Desk Support,Project Management,Leadership,Budgeting
361,361,Superintendent II,9,40.2,19.78,19,Leadership,Project Management,Safety Management,Inventory Management,Communication,Team Management,Time Management,,,
362,362,Community Relations Advocate Supervisor,8,0.0,64.4,28,Community Relations,Partnership Development,Marketing,Public Relations,Leadership,Recruitment,Case Management,Project Management,Communication,
363,363,Group Fitness Instructor,4,25.0,32.2,3,Child Development,,,,,,,,,
364,364,Claims Service Specialist,8,19.0,34.58,4,Medical Billing and Coding,Claims Management,Data Analysis,Customer Service,Leadership,Communication,Problem-Solving,Time Management,,
365,365,Senior Director of Business Operations - Healthcare,10,25.0,38.64,25,Financial Management,Leadership,Operational Management,Strategic Planning,Project Management,Team Management,Financial Analysis,Business Development,Process Improvement,
366,366,HR Generalist,8,13.5,48.18,19,Human Resources,Employee Relations,Recruitment and Employment,Training and Development,Employee Benefits Administration,Payroll Processing,Leadership,Communication,Organizational Development,Time Management
367,367,HR Manager,9,78.4,1.51,22,Human Resources Management,Recruitment and Hiring,Employee Relations,Benefits Administration,Compliance and Regulatory Affairs,Training and Development,Performance Management,Leadership and Supervision,Communication and Interpersonal Skills,
368,368,"Manager, Digital Marketing and Communications",9,0.0,4.01,18,Project Management,Digital Marketing,Data Analysis,Search Engine Optimization (SEO),Content Management Systems,Google Analytics,Microsoft Office,Leadership,,
369,369,Director of Information Technology,9,8.3,64.62,27,Leadership,Information Technology Management,Network Administration,Data Communications,System Analysis,Project Management,Technical Support,Server Administration,,
370,370,Executive Director,9,37.8,19.46,39,Leadership,Strategic Planning,Budgeting,Financial Management,Project Management,Grant Writing,Program Development,Teaching,Customer Service,Marketing
371,371,System Administrator/Assistant Supervisor,9,20.0,39.55,27,IT Systems Administration,Project Management,Leadership,Healthcare Management,Clinical Research,Communication,Problem-Solving,Team Management,,
372,372,HR Manager/Business Partner,9,23.8,43.34,22,Talent Management,Change Management,Workforce Planning,Organizational Development,Leadership,Communication,Employee Benefits Administration,Vendor Relations,HR Operations,
373,373,Clinical Research Coordinator Mentor - Quality Assurance,9,0.0,4.01,22,Project Management,Data Analysis,Regulatory Compliance,Quality Assurance,Leadership,Database Management,Communication,Time Management,Teamwork,Problem-Solving
374,374,"SENIOR COMMERCIAL BUSINESS BANKING RELATIONSHIP MANAGER, VP",10,32.3,21.47,23,Business Banking,Treasury Management,Cash Management,Leadership,Risk Management,Compliance,Client Relationship Management,Sales,,
375,375,Senior Supply Sergeant,8,24.3,35.72,27,Logistics Management,Supply Chain Management,Property Book Management,Leadership,Budgeting,Contract Management,Training and Development,,,
376,376,HR Coordinator,7,0.0,64.4,18,Human Resource Management,Recruitment and Selection,Employee Relations,Benefits Administration,Training and Development,Microsoft Excel,Project Management,Communication,Leadership,
377,377,Finance Manager,9,13.6,57.36,28,Financial Analysis,Financial Reporting,Budgeting,Financial Forecasting,Account Reconciliation,Financial Modeling,Leadership,Project Management,Communication,Auditing
378,378,HR Analyst,9,16.7,34.07,8.1,Human Resources,Employee Relations,Leadership,Communication,Project Management,Time Management,,,,
379,379,Finance Assistant,5,22.0,32.07,7,Customer Service,Data Entry,Cash Handling,Time Management,Communication,Organizational Skills,Attention to Detail,,,
380,380,Senior HR,10,49.4,8.71,35,Leadership,Safety Management,Training and Development,Human Resource Management,Labor Relations,Organizational Effectiveness,Staffing,Payroll Management,Workers' Compensation,
381,381,Senior Accountant,8.5,23.0,37.49,23,Financial Statement Preparation,Financial Reconciliation,Payroll Management,Budgeting,Leadership,Microsoft Excel,Account Analysis,Variance Analysis,Cost Containment,Cash Management
382,382,PH Inpatient/Financial Advocate Supervisor,9,25.0,26.35,21,Leadership,Team Management,Customer Service,Training and Development,Project Leadership,Scheduling,,,,
383,383,Senior Network Security Engineer,9,80.0,0.68,13.7,Network Security,Cisco Networking,TCP/IP,Network Design,Network Monitoring,Documentation,Troubleshooting,CCNA,CCNP,Palo Alto ACE
384,384,Accountant,8,10.0,40.34,20,Accounting,Financial Reconciliation,Payroll,Auditing,Data Analysis,Leadership,Microsoft Excel,Process Improvement,Risk Management,
385,385,Fitness Consultant,6,34.2,29.57,11,Coaching,Teaching,Leadership,Communication,,,,,,
386,386,Logistics Coordinator,8,31.0,27.25,12,Project Management,Payroll Management,HR Administration,Data Entry,Leadership,Communication,Organizational Skills,Attention to Detail,,
387,387,Senior Accountant,9,6.2,44.83,17,Financial Reconciliation,General Accounting,Financial Analysis,Budgeting,Financial Reporting,Accounting Standards,Microsoft Excel,,,
388,388,Information Technology Instructor,7,10.0,72.9,12,Project Management,Leadership,Training and Development,Technical Support,Data Analysis,Curriculum Development,Customer Service,Software Management,Multimedia Design,
389,389,"Vice President, Corporate Finance",10,0.0,58.37,27,Financial Reporting,Tax Compliance,Financial Planning,Leadership,Accounting,Audit,Financial Analysis,Risk Management,Investment Management,Project Management
390,390,Center Director/Head Start Family Advocate,8,35.2,28.68,15,Leadership,Communication,Team Management,Time Management,Problem-Solving,Training and Development,Child Development,Data Management,Classroom Management,
391,391,8th Grade Language Arts Teacher,7,25.0,26.35,11,Teaching,Leadership,Communication,Mentoring,Project Management,Data Analysis,Public Speaking,Community Engagement,,
392,392,Managed Pressure Drilling Field Supervisor,9,59.4,9.05,18,Project Management,Leadership,Technical Consulting,Logistics Coordination,Inventory Control,Process Improvement,MPD (Managed Pressure Drilling),Pressure Control Systems,Hydraulic Modeling,Well Data
393,393,Marketing and Corporate Communications/Merchant Services Transition - Communications Project Manager,9,25.2,40.86,27,Project Management,Communication,Marketing,Risk Management,Leadership,Six Sigma,Time Management,Team Management,,
394,394,HR Manager,7,15.6,53.13,20,Talent Management,Recruitment,HR Management,Payroll Management,Quickbooks,Client Relationship Management,Research,Group Presentation,Leadership,Communication
395,395,"Coordinator, Donor Relations",7,12.5,64.6,14,Data Analysis,Project Management,Financial Management,Communication,Marketing,Time Management,Problem-Solving,Microsoft Office,Accounting Software,
396,396,Summer Analyst,6,15.4,55.0,7,Real Estate Analysis,Financial Analysis,Investment Analysis,Strategy Development,Project Management,Communication,Negotiation,Data Analysis,Microsoft Excel,
397,397,Customer Care Representative,8,31.0,27.59,10,Customer Service,Leadership,Communication,Problem-Solving,Time Management,Team Management,,,,
398,398,AVIATION SUPPLY SPECIALIST,9,57.3,10.71,13.8,Inventory Management,Leadership,Supply Chain Management,Logistics,Quality Control,Safety Management,Equipment Operation,Communication,,
399,399,Consultant,9,29.5,28.45,11,Contract Drafting,Compliance,Legal Research,Aircraft Financing and Leasing,Taxation,Corporate Law,,,,
400,400,Information Security & Compliance Manager,9,25.0,13.92,13,Information Security,Risk Management,Compliance,Network Security,Technical Support,,,,,
401,401,Cashier,3,77.8,1.27,6.5,Customer Service,Communication,Time Management,Teamwork,Leadership,Food Safety and Handling,Cash Handling,Patient Care,,
402,402,Maintenance Mechanic,5,0.0,50.92,7,Aircraft Maintenance,Troubleshooting,Mechanical Repair,Customer Service,,,,,,
403,403,Accountant,8,22.7,30.22,19,Accounting,Financial Reconciliation,Customer Service,Leadership,Cash Handling,Training and Development,,,,
404,404,Finance Officer,7,43.6,15.2,34,Financial Reconciliation,General Accounting,Payroll Management,Budgeting,Financial Reporting,Financial Analysis,Leadership,Communication,Organizational Management,
405,405,Inside Sales Representative,9,80.9,0.85,19,Sales,Account Management,Real Estate Management,Property Management,Financial Management,Leadership,Communication,Networking,Business Development,
406,406,Manager / Fitness Instructor,7,9.8,55.57,12,Customer Service,Communication,Leadership,Time Management,Teamwork,Problem-Solving,Sales and Marketing,Fitness Instruction,,
407,407,AVIATION EXECUTIVE OFFICER,10,36.5,18.89,14,Leadership,Budgeting,Project Management,Risk Management,Communication,Problem-Solving,Time Management,Team Management,Financial Management,Strategic Planning
408,408,Intern,5,29.5,10.06,1.5,Fitness Program Development,Fitness Instruction,Facility Management,Personal Training,,,,,,
409,409,"Customer Service Rep 1 Lead, Quality Assurance Coach, Account Relationship Specialist, Online Banking Rep II",8,17.8,40.93,12,Leadership,Customer Service,Sales,Operations Management,Time Management,Communication,,,,
410,410,Executive Assistant/Office Manager,8,8.0,57.81,15,Project Management,Time Management,Leadership,Communication,Marketing,Budgeting,Event Planning,Customer Service,Microsoft Office,
411,411,"Program Manager Financial Manager, Facilities Manager",8,8.0,65.04,32,Leadership,Operational Management,Financial Management,Project Management,Marketing Management,Communication,Problem-Solving,Time Management,Team Management,Budgeting
412,412,Registered Nurse Clinical Care Coordinator- First Aid,9,87.5,0.28,16,Leadership,Clinical Management,Patient Care,Nursing,Health and Sanitation,Training and Development,Quality Assurance,,,
413,413,Principal Consultant,9,38.3,27.89,20,Mortgage Banking,Leadership,Operations Management,Risk Analysis,Project Management,Strategic Planning,Finance,Underwriting,Loan Servicing,Compliance
414,414,Certified Nurse Assistant,5,40.2,23.77,7,Patient Care,Vital Signs Monitoring,Medical Record Keeping,Communication,Customer Service,CPR/AED,,,,
415,415,Kids Club Attendant,5,28.0,25.7,6,Customer Service,Communication,Teamwork,Childcare,,,,,,
416,416,Project Coordinator Associate,7,25.0,26.35,30,Project Management,Training and Development,Leadership,Communication,Problem-Solving,Time Management,Microsoft Office,Classroom Instruction,Program Development,
417,417,Revenue Cycle Advocate,7,0.0,52.71,24,Microsoft Excel,Medical Billing,Insurance Verification,Customer Service,Data Entry,Office Administration,Epic System,Payment Reconciliation,,
418,418,Senior Investment Banking Sales Analyst,9,12.5,54.83,16,Investment Banking,Sales,Project Management,Financial Analysis,Deal Structuring,Leadership,Communication,Time Management,,
419,419,Volunteer,6,58.6,3.19,14,Emergency Medical Services,Patient Assessment,First Aid and CPR,Communication,Time Management,Martial Arts Instruction,Teamwork,,,
